other0_x,other0_y,other1_x,other1_y,other2_x,other2_y,other3_x,other3_y,self_x,self_y
1,2,4,3,7,2,9,6,1,1
1,1.97,4,2.97,7,1.97,9,5.97,1,1.03
1.0015,1.94004,4.0015,2.94004,6.9985,1.94004,8.9985,5.94004,1.0015,1.05996
1.00449,1.91019,4.00449,2.91019,6.99551,1.91019,8.99551,5.91019,1.00449,1.08981
1.00898,1.88052,4.00898,2.88052,6.99102,1.88052,8.99102,5.88052,1.00898,1.11948
1.01494,1.85112,4.01494,2.85112,6.98506,1.85112,8.98506,5.85112,1.01494,1.14888
1.02236,1.82205,4.02236,2.82205,6.97764,1.82205,8.97764,5.82205,1.02236,1.17795
1.03123,1.79339,4.03123,2.79339,6.96877,1.79339,8.96877,5.79339,1.03123,1.20661
1.04151,1.76521,4.04151,2.76521,6.95849,1.76521,8.95849,5.76521,1.04151,1.23479
1.05319,1.73758,4.05319,2.73758,6.94681,1.73758,8.94681,5.73758,1.05319,1.26242
1.06624,1.71057,4.06624,2.71057,6.93376,1.71057,8.93376,5.71057,1.06624,1.28943
1.08063,1.68424,4.08063,2.68424,6.91937,1.68424,8.91937,5.68424,1.08063,1.31576
1.09631,1.65867,4.09631,2.65867,6.90369,1.65867,8.90369,5.65867,1.09631,1.34133
1.11325,1.63391,4.11325,2.63391,6.88675,1.63391,8.88675,5.63391,1.11325,1.36609
1.1314,1.61002,4.1314,2.61002,6.8686,1.61002,8.8686,5.61002,1.1314,1.38998
1.15073,1.58708,4.15073,2.58708,6.84927,1.58708,8.84927,5.58708,1.15073,1.41292
1.17118,1.56513,4.17118,2.56513,6.82882,1.56513,8.82882,5.56513,1.17118,1.43487
1.1927,1.54423,4.1927,2.54423,6.8073,1.54423,8.8073,5.54423,1.1927,1.45577
1.21524,1.52443,4.21524,2.52443,6.78476,1.52443,8.78476,5.52443,1.21524,1.47557
1.23874,1.50578,4.23874,2.50578,6.76126,1.50578,8.76126,5.50578,1.23874,1.49422
1.26314,1.48833,4.26314,2.48833,6.73686,1.48833,8.73686,5.48833,1.26309,1.51175
1.28838,1.47212,4.28838,2.47212,6.71162,1.47212,8.71162,5.47212,1.28811,1.5283
1.31441,1.45719,4.31441,2.45719,6.68559,1.45719,8.68559,5.45719,1.31364,1.54404
1.34114,1.44358,4.34114,2.44358,6.65886,1.44358,8.65886,5.44358,1.33958,1.55912
1.36853,1.43133,4.36853,2.43133,6.63147,1.43133,8.63147,5.43133,1.36561,1.57403
1.39649,1.42046,4.39649,2.42046,6.60351,1.42046,8.60351,5.42046,1.39167,1.58889
1.42496,1.411,4.42496,2.411,6.57504,1.411,8.57504,5.411,1.41773,1.60375
1.45386,1.40297,4.45386,2.40297,6.54614,1.40297,8.54614,5.40297,1.4438,1.6186
1.48313,1.3964,4.48313,2.3964,6.51687,1.3964,8.51687,5.3964,1.46987,1.63345
1.5127,1.3913,4.5127,2.3913,6.4873,1.3913,8.4873,5.3913,1.49576,1.64861
1.54248,1.38769,4.54248,2.38769,6.45752,1.38769,8.45752,5.38769,1.52146,1.66409
1.5724,1.38557,4.5724,2.38557,6.4276,1.38557,8.4276,5.38557,1.54699,1.67983
1.6024,1.38494,4.6024,2.38494,6.3976,1.38494,8.3976,5.38494,1.57239,1.6958
1.63238,1.38582,4.63238,2.38582,6.36762,1.38582,8.36762,5.38582,1.59767,1.71196
1.66229,1.38819,4.66229,2.38819,6.33771,1.38819,8.33771,5.38819,1.62271,1.72848
1.69204,1.39206,4.69204,2.39206,6.30796,1.39206,8.30796,5.39206,1.64752,1.74534
1.72156,1.39741,4.72156,2.39741,6.27844,1.39741,8.27844,5.39741,1.67213,1.7625
1.75078,1.40422,4.75078,2.40422,6.24922,1.40422,8.24922,5.40422,1.69657,1.77989
1.77961,1.41249,4.77961,2.41249,6.22039,1.41249,8.22039,5.41249,1.72088,1.79747
1.808,1.42219,4.808,2.42219,6.192,1.42219,8.192,5.42219,1.74454,1.81592
1.83587,1.43329,4.83587,2.43329,6.16413,1.43329,8.16413,5.43329,1.76751,1.83521
1.86315,1.44578,4.86315,2.44578,6.13685,1.44578,8.13685,5.44578,1.78987,1.85522
1.88977,1.45961,4.88977,2.45961,6.11023,1.45961,8.11023,5.45961,1.81169,1.87581
1.91567,1.47475,4.91567,2.47475,6.08433,1.47475,8.08433,5.47475,1.83245,1.89746
1.94077,1.49118,4.94077,2.49118,6.05923,1.49118,8.05923,5.49118,1.8521,1.92013
1.96503,1.50883,4.96503,2.50883,6.03497,1.50883,8.03497,5.50883,1.8706,1.94375
1.98837,1.52768,4.98837,2.52768,6.01163,1.52768,8.0116,5.52764,1.88789,1.96826
2.01074,1.54766,5.01074,2.54766,5.98926,1.54766,7.98901,5.54739,1.90403,1.99355
2.03209,1.56875,5.03209,2.56875,5.96791,1.56875,7.96708,5.56785,1.91888,2.01962
2.05235,1.59087,5.05235,2.59087,5.94765,1.59087,7.94568,5.58888,1.93244,2.04638
2.07148,1.61397,5.07148,2.61397,5.92852,1.61397,7.92393,5.60954,1.94488,2.07368
2.08944,1.63801,5.08944,2.63801,5.91056,1.63801,7.90171,5.6297,1.95636,2.10139
2.10617,1.66291,5.10617,2.66291,5.89383,1.66291,7.8791,5.64941,1.96704,2.12943
2.12163,1.68862,5.12163,2.68862,5.87837,1.68862,7.85616,5.66875,1.97673,2.15782
2.13579,1.71506,5.13579,2.71506,5.86421,1.71506,7.83297,5.68778,1.98531,2.18657
2.14862,1.74219,5.14862,2.74219,5.85138,1.74219,7.80958,5.70656,1.9929,2.21559
2.16007,1.76992,5.16007,2.76992,5.83993,1.76992,7.78603,5.72516,1.99966,2.24482
2.17012,1.79818,5.17012,2.79818,5.82988,1.79818,7.76237,5.74359,2.00573,2.2742
2.17874,1.82692,5.17874,2.82692,5.82126,1.82692,7.7386,5.7619,2.01109,2.30372
2.18592,1.85604,5.18592,2.85604,5.81408,1.85604,7.71416,5.77929,2.01584,2.33334
2.19163,1.8855,5.19163,2.8855,5.80837,1.8855,7.68907,5.79574,2.02007,2.36304
2.19586,1.9152,5.19586,2.9152,5.80414,1.9152,7.66345,5.81135,2.02377,2.39281
2.19861,1.94507,5.19861,2.94507,5.80139,1.94507,7.63743,5.82628,2.02703,2.42263
2.19985,1.97504,5.19985,2.97504,5.80015,1.97504,7.61092,5.84032,2.02992,2.45249
2.1996,2.00504,5.1996,3.00504,5.8004,2.00504,7.584,5.85356,2.03249,2.48238
2.19785,2.03499,5.19785,3.03499,5.80215,2.03499,7.55676,5.86613,2.03475,2.5123
2.19465,2.06482,5.19461,3.06482,5.80522,2.06483,7.52928,5.87816,2.03674,2.54223
2.19095,2.09459,5.18987,3.09444,5.80933,2.09455,7.5016,5.88975,2.0385,2.57218
2.18703,2.12433,5.18367,3.12379,5.81426,2.12414,7.47379,5.90098,2.04004,2.60214
2.18297,2.15406,5.176,3.15279,5.81981,2.15362,7.44585,5.91192,2.04137,2.63211
2.17882,2.18377,5.16689,3.18138,5.82585,2.18301,7.41782,5.92262,2.04255,2.66209
2.17461,2.21347,5.15637,3.20947,5.83156,2.21246,7.38951,5.93254,2.04355,2.69207
2.17034,2.24317,5.14446,3.23701,5.83685,2.24199,7.36094,5.94168,2.0444,2.72206
2.16604,2.27286,5.13118,3.26391,5.84176,2.27159,7.33216,5.95015,2.04512,2.75205
2.1617,2.30254,5.11658,3.29011,5.84636,2.30123,7.30322,5.95807,2.04575,2.78204
2.15809,2.33232,5.10068,3.31556,5.85072,2.33091,7.27417,5.96555,2.04629,2.81204
2.15523,2.36219,5.08353,3.34017,5.8549,2.36062,7.24502,5.97265,2.04677,2.84204
2.15301,2.3921,5.06518,3.3639,5.85893,2.39035,7.2158,5.97946,2.04719,2.87203
2.1513,2.42206,5.04566,3.38668,5.86285,2.42009,7.18645,5.98565,2.04756,2.90203
2.15,2.45203,5.02503,3.40846,5.86593,2.44993,7.15698,5.99126,2.04788,2.93203
2.14902,2.48201,5.00333,3.42918,5.86817,2.47985,7.12742,5.99637,2.04816,2.96203
2.14828,2.512,4.98063,3.44879,5.86969,2.50981,7.09777,6.00096,2.04841,2.99203
2.14849,2.542,4.95723,3.46757,5.87066,2.5398,7.06806,6.00511,2.04862,3.02203
2.14963,2.57198,4.93333,3.48571,5.87117,2.56979,7.0383,6.0089,2.04881,3.05203
2.15155,2.60192,4.90907,3.50335,5.87133,2.59979,7.0085,6.0124,2.04898,3.08202
2.1541,2.63181,4.88453,3.52061,5.87122,2.62979,6.97868,6.01565,2.04912,3.11202
2.15714,2.66166,4.85979,3.53757,5.87088,2.65979,6.94884,6.01871,2.04925,3.14202
2.16057,2.69146,4.83489,3.55431,5.86961,2.68976,6.91898,6.0216,2.04936,3.17202
2.16431,2.72122,4.80987,3.57086,5.86741,2.71968,6.88909,6.02422,2.04945,3.20202
2.169,2.75086,4.78476,3.58728,5.86442,2.74953,6.85918,6.02657,2.04953,3.23202
2.1746,2.78033,4.75958,3.60359,5.8608,2.77931,6.82926,6.02869,2.04959,3.26202
2.18097,2.80965,4.73435,3.61982,5.85668,2.80903,6.79932,6.03063,2.04965,3.29202
2.18795,2.83882,4.70908,3.63598,5.85216,2.83869,6.76938,6.03242,2.0497,3.32202
2.19543,2.86787,4.68436,3.65298,5.84665,2.86818,6.73942,6.03409,2.04974,3.35202
2.20331,2.89682,4.66025,3.67083,5.8402,2.89748,6.70946,6.03558,2.04978,3.38202
2.21207,2.92551,4.63668,3.68939,5.83296,2.92659,6.67949,6.03691,2.04981,3.41202
2.22166,2.95394,4.61355,3.7085,5.82509,2.95554,6.64951,6.0381,2.04984,3.44202
2.23195,2.98212,4.59078,3.72803,5.81671,2.98434,6.61953,6.03918,2.04986,3.47202
2.24281,3.01009,4.56829,3.74789,5.80793,3.01303,6.58955,6.04015,2.04988,3.50202
2.25412,3.03787,4.54603,3.768,5.79828,3.04144,6.55956,6.04102,2.0499,3.53202
